tripid,bikeid,starttime,stoptime,tripduration,O_id,O_name,O_lat,O_lon,D_id,D_name,D_lat,D_lon,usertype,gender,birth
7635,928,53221,53761,540.0,238,Wolcott (Ravenswood) Ave & Montrose Ave (*),41.961406,-87.676169,325,Clark St & Winnemac Ave (Temp),41.973255,-87.6697,Subscriber,Female,1981
7636,6214,53296,54080,784.0,81,Daley Center Plaza,41.884241,-87.629634,3,Shedd Aquarium,41.867225957,-87.61535539,Customer,,
7637,2510,53303,54867,"1,564.0",35,Streeter Dr & Grand Ave,41.892278,-87.612043,199,Wabash Ave & Grand Ave,41.891466,-87.626761,Customer,,
7638,1530,53296,55260,"1,964.0",14,Morgan St & 18th St,41.858086,-87.651073,284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,Customer,,
7639,3283,53306,56035,"2,729.0",59,Wabash Ave & Roosevelt Rd,41.867227,-87.625961,296,Broadway & Belmont Ave,41.940106,-87.645451,Subscriber,Male,1990
7640,1742,53308,54144,836.0,44,State St & Randolph St,41.884730201,-87.627733569,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7641,6192,53301,53774,473.0,345,Lake Park Ave & 56th St,41.793242,-87.587782,328,Ellis Ave & 58th St,41.788746,-87.601334,Subscriber,Female,1960
7642,4849,53313,54054,741.0,177,Theater on the Lake,41.926277,-87.630834,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Customer,,
7643,617,53312,54088,776.0,392,Perry Ave & 69th St,41.76929309,-87.628195929,393,Calumet Ave & 71st St,41.765508006,-87.616917925,Customer,,
7644,959,53312,53595,283.0,36,Franklin St & Jackson Blvd,41.877707956,-87.635321141,103,Clinton St & Polk St (*),41.871466518,-87.640949133,Subscriber,Male,1986
7645,4524,53328,54052,724.0,177,Theater on the Lake,41.926277,-87.630834,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Customer,,
